BADGE,CLUSTER
1000512,0
1202843,0
1000519,1
1001474,2
1001475,2
1000521,2
1001158,2
1001488,2
1001491,2
1001147,2
1000524,3
1000526,4
1125405,4
1125406,4
1125407,4
1124669,4
1124670,4
1124671,4
1125478,4
1125479,4
1125521,4
1125522,4
1000530,5
1000588,5
1000527,5
1000589,5
1000587,6
1000590,6
1000528,6
1000529,6
1002916,7
1000531,7
1000532,7
1003549,7
1000557,7
1000533,8
1000571,8
1000573,8
1000541,8
1000555,8
1000558,9
1000534,9
1000572,9
1000539,9
1000540,9
1000556,9
1000535,10
1001613,11
1001606,11
1000536,11
1000538,12
1000542,13
1005490,13
1005857,13
1000543,14
1027356,15
1027357,15
1000544,15
1032422,15
1255013,15
1262344,15
1000545,16
1000546,17
1001732,18
1001733,18
1001735,18
1002370,18
1000547,18
1001729,18
1000549,19
1000550,20
1012541,21
1012540,21
1000552,21
1000553,22
1000559,23
1000961,23
1001352,23
1000802,23
1000962,23
1001354,23
1000805,23
1000820,23
1000822,23
1001279,24
1000560,24
1005528,24
1000561,25
1001771,25
1001772,25
1001773,25
1001774,25
1000995,25
1001551,25
1001556,25
1001536,25
1053715,25
1001538,25
1000562,26
1002036,27
1000927,27
1000563,27
1002039,27
1002037,27
1002038,27
1000870,27
1001783,27
1001009,27
1000564,28
1001415,29
1000565,29
1000997,29
1001389,29
1001422,29
1001390,29
1001016,29
1000566,30
1000567,31
1048857,31
1000568,32
1000569,33
1000570,34
1000575,35
1006071,35
1000576,36
1007774,36
1032123,37
1032124,37
1000577,37
1032129,37
1032130,37
1035983,38
1045426,38
1035986,38
1043457,38
1000578,38
1036002,38
1000579,39
1026305,40
1000580,40
1004104,40
1026302,40
1026303,40
1048685,41
1009071,41
1009073,41
1000581,41
1247605,41
1009025,41
1018731,42
1018766,42
1018767,42
1019166,42
1019168,42
1019169,42
1000582,42
1028718,43
1020611,43
1019290,43
1049023,43
1000583,43
1135522,43
1023322,44
1023324,44
1023325,44
1023232,44
1023308,44
1023309,44
1000584,44
1048746,45
1019710,45
1019711,45
1019713,45
1019725,45
1019693,45
1000585,45
1012837,45
1030244,46
1030245,46
1030179,46
1030180,46
1030181,46
1031036,46
1000586,46
1000591,47
1000592,48
1000593,48
1000594,49
1000595,50
1002466,50
1008574,50
1002413,50
1002415,50
1008702,50
1008575,50
1008705,50
1025395,51
1025396,51
1025397,51
1097559,51
1000596,51
1025016,51
1052771,51
1009080,51
1025394,51
1073440,52
1000597,52
1012979,52
1021664,52
1026455,52
1012895,52
1026457,52
1120005,52
1020286,53
1020288,53
1000599,53
1018874,53
1027255,53
1018876,53
1018818,53
1020248,54
1000600,54
1020847,54
1020848,54
1020849,54
1020893,54
1071147,55
1135666,55
1004534,55
1000601,55
1004536,55
1004537,55
1052844,55
1012962,55
1004586,55
1073680,56
1000602,56
1000603,57
1000604,58
1000605,59
1000626,60
1012852,60
1000606,60
1000652,60
1000683,60
1000726,60
1000653,60
1000654,60
1000724,60
1000725,60
1000623,60
1000727,60
1000625,60
1000628,61
1000607,61
1000608,62
1000693,62
1000609,63
1011271,64
1000610,64
1000712,65
1000713,65
1000714,65
1000611,65
1000715,65
1003768,65
1000612,66
1000613,66
1000614,66
1078904,67
1078908,67
1078909,67
1078910,67
1078911,67
1094874,67
1098310,67
1000615,67
1078025,67
1078026,67
1078898,67
1000616,68
1000663,68
1000665,68
1000617,69
1000618,70
1000620,71
1000690,72
1000680,72
1000681,72
1000622,72
1000664,73
1000666,73
1000651,73
1000684,73
1000685,73
1000624,73
1000627,74
1000629,75
1000630,76
1048644,77
1000633,77
1000634,78
1000635,79
1000636,80
1000637,81
1000638,82
1274144,82
1000639,83
1000640,84
1000641,85
1000642,86
1000646,87
1000643,87
1000645,88
1048650,88
1005546,89
1000647,89
1000648,89
1003771,89
1000649,89
1003773,89
1000650,90
1070913,91
1000679,91
1000682,91
1000655,91
1000657,91
1000658,91
1000656,92
1000661,93
1000662,93
1000659,93
1000660,93
1000667,94
1000668,95
1000669,96
1000670,97
1000671,98
1225674,98
1136544,99
1000672,99
1000673,100
1194984,101
1000675,101
1000676,101
1000677,101
1000678,102
1037243,103
1037246,103
1037194,103
1037199,103
1037200,103
1000686,103
1037202,103
1000687,104
1048653,104
1000688,105
1000689,106
1000692,107
1000694,108
1000695,109
1048658,109
1000696,110
1000697,110
1000698,111
1001030,112
1005911,112
1000699,112
1000787,113
1000700,113
1000701,114
1000702,115
1000703,116
1000704,117
1000705,118
1000706,119
1037818,119
1000707,120
1000708,121
1000709,122
1002068,123
1000711,123
1000716,124
1000717,125
1001963,125
1000719,126
1000722,127
1000720,127
1000721,128
1000723,128
1000737,129
1000728,129
1000729,130
1000730,131
1000731,131
1000733,132
1000734,133
1002946,133
1000735,134
1000736,135
1000738,136
1052408,136
1059467,136
1052811,136
1014291,136
1012770,136
1000739,137
1000740,138
1000741,139
1000742,139
1001962,140
1001961,140
1000743,140
1000744,141
1000745,142
1000746,143
1000747,144
1000748,145
1000749,146
1000750,146
1000751,147
1000752,148
1003732,149
1003733,149
1003735,149
1000753,149
1005919,149
1005921,149
1000754,150
1000755,150
1001916,150
1000764,151
1000766,151
1000767,151
1000756,151
1000757,151
1000759,151
1000765,152
1000801,152
1000963,152
1001645,152
1001529,152
1000758,152
1000762,153
1000763,153
1003598,153
1304323,153
1003647,153
1000760,153
1000761,154
1000768,155
1000769,156
1000770,157
1307782,157
1273090,157
1307785,157
1012971,158
1052499,158
1000831,158
1001901,158
1000771,158
1002183,158
1048673,158
1000772,159
1000775,159
1003636,159
1003637,159
1003638,159
1003639,159
1000773,160
1000774,161
1003605,161
1000781,161
1003607,161
1000783,161
1003606,161
1000776,162
1000777,163
1000778,164
1001163,165
1000779,165
1005878,165
1001144,165
1000856,165
1000780,166
1003770,166
1000828,167
1000829,167
1000830,167
1003589,167
1000782,167
1000816,167
1003641,167
1003642,167
1000818,167
1136928,167
1000784,168
1021538,169
1013394,169
1000785,169
1005931,170
1005932,170
1005933,170
1000844,170
1000788,170
1000789,171
1003628,172
1003810,172
1003705,172
1003673,172
1003675,172
1000790,172
1000791,173
1000792,174
1000793,175
1003815,176
1000794,176
1000795,177
1024978,177
1008613,177
1007664,177
1095907,177
1115655,177
1095912,177
1026058,177
1012824,177
1004029,177
1095889,177
1014998,177
1011471,177
1007731,177
1000796,178
1000797,179
1000798,180
1003603,180
1003671,180
1003805,180
1003580,180
1003581,180
1000799,181
1003660,181
1012823,181
1003802,181
1003803,181
1003804,181
1003582,181
1003734,182
1005920,182
1000800,182
1000803,183
1001646,183
1039777,183
1001656,183
1020045,183
1001657,183
1000804,184
1003657,184
1000806,185
1000960,185
1000807,186
1000808,187
1000810,187
1001989,188
1000809,188
1000811,189
1001348,189
1001349,189
1001247,190
1001256,190
1001258,190
1001259,190
1001037,190
1000812,190
1001038,190
1014599,190
1001245,190
1001917,191
1000813,191
1000814,191
1001039,191
1000852,191
1003745,191
1001242,191
1000815,192
1001837,192
1001838,192
1000817,193
1000819,194
1003572,194
1003573,194
1003575,194
1001806,195
1000821,195
1001372,195
1003659,196
1005511,196
1001036,196
1000854,196
1000855,196
1000823,196
1000824,197
1000902,198
1000825,198
1000826,199
1000827,200
1000835,201
1003794,201
1000832,201
1000834,201
1005862,202
1005863,202
1005864,202
1000833,202
1005865,202
1000836,202
1000838,202
1003717,203
1003718,203
1003719,203
1000837,203
1000839,203
1003716,203
1000924,204
1000843,204
1000840,204
1000926,205
1000841,205
1000842,205
1218892,206
1218893,206
1218894,206
1217220,206
1217221,206
1217222,206
1217223,206
1217744,206
1217746,206
1216849,206
1216850,206
1000845,206
1127954,206
1218600,206
1218601,206
1218602,206
1218876,206
1218877,206
1218878,206
1218879,206
1000994,207
1003798,207
1000846,207
1000847,207
1011585,207
1000848,208
1000864,209
1000866,209
1000867,209
1000849,209
1000850,209
1000851,209
1001919,210
1000857,210
1000858,210
1003817,211
1000859,211
1000860,212
1000861,213
1001987,213
1000862,214
1000863,215
1000865,216
1000868,217
1005464,217
1000875,217
1000869,218
1003785,218
1003784,218
1000893,218
1000871,219
1001012,220
1000872,220
1000873,220
1000874,221
1000876,222
1001029,223
1000877,223
1001031,223
1000879,223
1000878,224
1059099,225
1000880,225
1000882,225
1000881,226
1000977,227
1276193,227
1000883,227
1003708,228
1001971,228
1003661,228
1003663,228
1003700,228
1003702,228
1003706,228
1003583,228
1000884,228
1000885,228
1003744,228
1000887,228
1003747,228
1000886,229
1006282,230
1013139,230
1006284,230
1006031,230
1048631,230
1052550,230
1007178,230
1000888,230
1007180,230
1000890,230
1000891,230
1006010,231
1000889,231
1006651,231
1006012,231
1000892,232
1003686,232
1007674,232
1007676,232
1000894,233
1048652,234
1003684,234
1000895,234
1000896,235
1002172,235
1002173,235
1002174,235
1009229,235
1072293,236
1000897,236
1009227,236
1000899,236
1119860,236
1052579,236
1009210,236
1009211,236
1009212,236
1009216,236
1009217,236
1000898,237
1000900,238
1000901,238
1000903,239
1000904,240
1000905,240
1000906,241
1000910,242
1000907,242
1000908,243
1000909,243
1000918,244
1000911,244
1000934,245
1009172,245
1009173,245
1000912,245
1000913,245
1000914,245
1000915,245
1001697,245
1000916,246
1000917,247
1002246,247
1002247,247
1000919,248
1000920,249
1000923,249
1000921,250
1005895,251
1000922,251
1005897,251
1000925,252
1014634,252
1002034,252
1000928,253
1000929,253
1000930,253
1008814,253
1002541,253
1010527,253
1010891,253
1000931,254
1000932,255
1000933,255
1000935,255
1000936,256
1000937,257
1000938,258
1000939,258
1000940,259
1000941,260
1000943,260
1000942,261
1000966,262
1000944,262
1000945,262
1000946,262
1009411,262
1000947,263
1002266,264
1000959,264
1009241,264
1000948,264
1009214,264
1009215,264
1009280,264
1000949,265
1009285,265
1009284,266
1007282,266
1009218,266
1009263,266
1000950,266
1000951,266
1014637,266
1009282,266
1009283,266
1009577,267
1009514,267
1009515,267
1009516,267
1048601,267
1010212,267
1000952,267
1009575,267
1002394,268
1002395,268
1008842,268
1008844,268
1008845,268
1306866,268
1000953,268
1045515,269
1108976,269
1288596,269
1308184,269
1119445,269
1266724,269
1148147,269
1000954,269
1058385,269
1001125,270
1005629,270
1002430,270
1000955,270
1009223,271
1009224,271
1009238,271
1009239,271
1009240,271
1007570,271
1007571,271
1007573,271
1000956,271
1000957,271
1000958,271
1009256,271
1009257,271
1000965,271
1000967,271
1007324,271
1005276,271
1007613,271
1007627,271
1007628,271
1007498,271
1003742,271
1009219,271
1007610,272
1007612,272
1007581,272
1000964,272
1133703,272
1009278,272
1009279,272
1009281,272
1134114,273
1131030,273
1000968,273
1010941,273
1008450,274
1008451,274
1000969,274
1002592,275
1002595,275
1000970,275
1011457,275
1007338,275
1002615,275
1052860,275
1008447,276
1000971,276
1008438,276
1008439,276
1008440,276
1008446,276
1000972,277
1000973,277
1000974,278
1001118,279
1000975,279
1000976,280
1000978,281
1001032,282
1001033,282
1001035,282
1000979,282
1000980,283
1000981,284
1000982,285
1000983,286
1001025,287
1001026,287
1000984,287
1000985,287
1000986,287
1000987,287
1000988,288
1000989,288
1000990,288
1000991,288
1003821,288
1001027,288
1000992,289
1034078,290
1001559,290
1000993,290
1000996,291
1000999,291
1000998,292
1001000,293
1001001,294
1001003,294
1001101,294
1001102,294
1001103,294
1001002,295
1001004,296
1001006,296
1001100,296
1001005,297
1001007,298
1001008,299
1001010,300
1001011,301
1001013,302
1001014,302
1001015,303
1001412,304
1001089,304
1001403,304
1001017,304
1001018,304
1001019,304
