BADGE,BADGE_ADDRESS,BADGE_CITY,MODEL_BADGE_LAT,MODEL_BADGE_LON,GIS_BADGE_LAT,GIS_BADGE_LON,MODEL_VS_GIS_LATLON_DISTANCE_M
1281513,"24100 GOLD CAMP RD, MTR 6",GN MTN FLS,38.918315,-104.652058,38.789342490000003,-105.015685919999996,34599.6
1001986,8435 COMMANCHE RD,,38.962763,-104.756167,38.709816510000003,-104.826759480000007,28783.3
1000738,1065 ROCK CREEK CANYON RD,COLO SPGS,38.919411,-104.659113,38.708704390000001,-104.847551719999998,28556.9
1060426,"7902 GOLDENRAY PL, CONST TRLR",COLO SPGS,38.78915,-104.824759,38.947962820000001,-104.678875410000003,21710.8
1036845,9743 FEDERAL DR,COLO SPGS,38.7981,-104.802542,38.989574529999999,-104.804077579999998,21291.4
1066542,10660 WHITE DIAMOND PT,COLO SPGS,38.79865,-104.811,38.984701039999997,-104.795914990000000,20729.1
1131093,8040 GRANDIOSE HTS,COLO SPGS,38.754302,-104.668824,38.938908509999997,-104.677551300000005,20541.2
1008085,58 CHEYENNE MOUNTAIN BLVD,COLO SPGS,38.955736,-104.759656,38.784940960000000,-104.844172229999998,20352.3
1000795,8040 W US HIGHWAY 24,,38.96258,-104.756606,38.896303130000000,-104.970370270000004,19905.3
1036407,"5833 TRAMORE CT, CONST TRLR",COLO SPGS,39.025571,-104.824717,38.915432330000002,-104.658070510000002,18908.7
1062696,"2351 FLYING HORSE CLUB DR, E MTR",COLO SPGS,38.858314,-104.851912,39.019600959999998,-104.783715279999996,18879.3
1281184,9 MARLAND RD,COLO SPGS,38.93666,-104.752312,38.786396900000000,-104.836859619999998,18241.8
1069017,"1391 INTERQUEST PKWY, HSEMTR",COLO SPGS,38.854729,-104.915967,38.990227210000000,-104.798854739999996,18156.2
1133393,,,38.841019,-104.854873,38.990477270000000,-104.785202360000000,17678.4
1059721,"6415 TEMPLETON GAP DL, TEMP",COLO SPGS,38.798892,-104.845736,38.925751099999999,-104.722977560000004,17662.2
1248326,1820 OLYMPIC DR,COLO SPGS,38.944573,-104.683612,38.806061710000002,-104.773009750000000,17236.7
1133689,,,38.760997,-104.70978,38.819547069999999,-104.892418919999997,17115.9
1285307,1126 NORWOOD AVE,COLO SPGS,38.93971,-104.744335,38.799768890000003,-104.808238549999999,16515.0
1133354,"13628 FROST BITTEN GRV, HSEMTR",COLO SPGS,38.915658,-104.661036,39.030323940000002,-104.781144819999994,16443.2
1044086,"1330 W KIOWA ST, HSEMTR2",COLO SPGS,38.947246,-104.71566,38.839907089999997,-104.845037169999998,16365.4
1133395,,,38.757196,-104.748264,38.902367120000001,-104.771343049999999,16265.6
1013187,"5229 STETSON HILLS BLVD, ANTENNA",COLO SPGS,38.769886,-104.739508,38.910544989999998,-104.729317620000003,15665.4
1247604,1540 W GARDEN OF THE GODS RD,COLO SPGS,38.978553,-104.708385,38.897103799999996,-104.855718130000000,15633.5
1097547,,,38.967844,-104.750635,38.829345689999997,-104.720435129999998,15620.5
1058251,"5914 STETSON HILLS BLVD, CONST TRLR",COLO SPGS,39.025571,-104.824717,38.913091930000000,-104.718313319999993,15525.7
1281062,8 LAKE AVE,COLO SPGS,38.880435,-104.710759,38.792445219999998,-104.846153380000004,15272.6
1030513,"9246 GRAND CORDERA PKWY, CLUBHOUSE",COLO SPGS,38.851009,-104.834033,38.964701869999999,-104.735560350000000,15245.4
1125482,2406 WOOD AVE,COLO SPGS,38.939689,-104.683615,38.867637340000002,-104.826011649999998,14697.5
1312540,2775 ROSSMERE ST,COLO SPGS,38.907507,-104.711768,38.920516020000001,-104.880347279999995,14657.0
1013057,,,38.847777,-104.759903,38.743499759999999,-104.862784090000005,14626.8
1002079,8620 CHIPITA PARK RD,CASCADE,38.829673,-104.859391,38.912514139999999,-104.979963380000001,13921.5
1152875,823 E MORENO AVE,COLO SPGS,38.94358,-104.759145,38.824753170000001,-104.809684880000006,13918.3
1045709,125 TERRACE DR,COLO SPGS,38.925494,-104.854171,38.804801429999998,-104.824623669999994,13662.0
1013016,1108 KEITH DR,COLO SPGS,38.929091,-104.675714,38.817442010000001,-104.738335480000003,13546.8
1059970,"4737 BRIDLE PASS DR, CONST TRLR",COLO SPGS,38.84606,-104.84616,38.935850440000003,-104.744069120000006,13332.5
